timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,306000000.0,1470000000.0,0.20816326530612245,503881714.14228266,2480740.9455764326,0.004923153232425535,376712.3287671233,3515981.735159817,376712.3287671233,3515981.735159817,10979.921644255159,10979.921644255159,0,0,9999989020.078356,5603881714.1422825,150000000,15000,4466.331345547595,4054.1877551020407,1882.1435904455548,1470.0,10.350916741966195,0.0,1297.340081632653,2739.72602739726,24998557.614054237
2,1,0,312120000.0,1176000000.0,0.26540816326530614,509262740.65618867,2454528.674902401,0.004834007063476892,376712.3287671233,3515981.735159817,753424.6575342466,7031963.470319634,11667.550020904395,22647.47166515955,0,0,9999977352.528336,5607762740.656189,148500000,14850,4919.742567026379,4242.475175510204,1853.267391516175,1176.0,11.410046905512235,-150.0,1357.5920561632654,2739.72602739726,24997175.480083004
3,1,0,318362400.0,1164240000.0,0.2734508348794063,514633237.1070349,2428914.2439123522,0.004874423229487731,376712.3287671233,3515981.735159817,1130136.98630137,10547945.20547945,12197.613080682842,34845.084745842396,0,0,9999965154.915255,5611643237.107035,147010000,14701,4992.7718243220825,4342.68758444527,1814.324239876813,1164.24,11.707918570636187,-149.0,1389.660027022486,2739.72602739726,24995825.41408263
4,1,0,324729648.0,1152558400.0,0.2817468060620616,519993181.4802822,2403877.6747833164,0.004844360115200484,376712.3287671233,3515981.735159817,1506849.3150684931,14063926.940639269,12749.690679690311,47594.77542553271,0,0,9999952405.224575,5615523181.480282,145530000,14553,5069.8150974137725,4445.705022945946,1776.6684744678262,1152.5584,12.020541646909146,-148.0,1422.6256073427028,2739.72602739726,24994508.313662577
5,1,0,331224240.96,1140955200.0,0.2903043353148309,525332550.8388118,2379445.168596717,0.004754272768325066,376712.3287671233,3515981.735159817,1883561.6438356163,17579908.675799087,13324.705397321852,60919.48082285456,0,0,9999939080.519176,5619402550.838812,144070000,14407,5150.914250999122,4551.625890192314,1740.243560806808,1140.9551999999999,12.34843113653038,-146.0,1456.5202848615402,2739.72602739726,24993225.107920043
6,1,0,337848725.77919996,1129508800.0,0.2991111939802505,530661321.9318627,2355551.3626834494,0.0046678631476156,376712.3287671233,3515981.735159817,2260273.9726027395,21095890.410958905,13922.970876042345,74842.45169889691,0,0,9999925157.548302,5623281321.931863,142620000,14262,5236.06286426981,4660.510723865536,1705.060940404273,1129.5087999999998,12.69109681212196,-145.0,1491.3634316369717,2739.72602739726,24991976.745324284
7,1,0,344605700.29478395,1118140800.0,0.30819526511758083,535969469.90304935,2332222.393611544,0.004617284209287607,376712.3287671233,3515981.735159817,2636986.3013698626,24611872.146118723,14546.092740326994,89388.5444392239,0,0,9999910611.45556,5627159469.903049,141190000,14119,5325.363962782366,4772.503474517692,1671.0012882646745,1118.1408,13.050061012502997,-143.0,1527.2011118456612,2739.72602739726,24990764.220408734
8,1,0,351497814.3006796,1106929600.0,0.31754306172739405,541266969.5523188,2309396.416769849,0.0045961427251142205,376712.3287671233,3515981.735159817,3013698.630136986,28127853.88127854,15194.414657457299,104582.9590966812,0,0,9999895417.040903,5631036969.552319,139770000,13977,5418.816413222261,4887.667924469304,1638.078088752957,1106.9296,13.424798200725666,-142.0,1564.0537358301774,2739.72602739726,24989588.54811717
9,1,0,358527770.5866932,1095796800.0,0.32718453876365877,546543793.9283879,2287099.4307983755,0.0045213548129235896,376712.3287671233,3515981.735159817,3390410.958904109,31643835.61643836,15869.687857972647,120452.64695465384,0,0,9999879547.353045,5634913793.928388,138370000,13837,5516.546481847182,5006.16170656054,1606.1815752866426,1095.7967999999998,13.816979825492226,-140.0,1601.9717460993727,2739.72602739726,24988450.79383587
10,1,0,365698325.9984271,1084820800.0,0.3371048250535269,551809915.7035133,2265272.813023578,0.004490992120497828,376712.3287671233,3515981.735159817,3767123.287671232,35159817.35159817,16572.288801691266,137024.9357563451,0,0,9999862975.064243,5638789915.703513,136980000,13698,5618.5579729456385,5128.05193322953,1575.3268397161085,1084.8208,14.22604015705851,-139.0,1640.9766186334493,2739.72602739726,24987352.044427108
