timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,1224000000.0,1470000000.0,0.8326530612244898,503842973.6576711,2480931.6897396976,0.004923531773661618,376712.3287671233,3515981.735159817,376712.3287671233,3515981.735159817,49720.406255841604,49720.406255841604,0,0,9999950279.593744,5603842973.657671,150000000,15000,18772.143590445557,18360.000000000004,1882.1435904455548,1470.0,43.50525752341222,0.0,5875.200000000001,2739.72602739726,25003135.473972604
2,1,0,1248480000.0,1470000000.0,0.8493061224489796,506624176.5382342,2467312.1771275443,0.004859935154866361,376712.3287671233,3515981.735159817,753424.6575342466,7031963.470319634,51491.18336385211,101211.58961969372,0,0,9999898788.41038,5607684176.538235,151060000,15106,19110.752291449273,18727.2,1853.5522914492733,1470.0,44.32203622603518,106.0,5992.704000000001,2739.72602739726,25006388.451945208
3,1,0,1273449600.0,1480388000.0,0.860213403513133,509323772.7726931,2454234.549459886,0.004951089787068069,376712.3287671233,3515981.735159817,1130136.98630137,10547945.20547945,53097.82946801856,154309.41908771227,0,0,9999845690.580912,5611523772.772694,152200000,15220,19454.620864916287,19101.744000000002,1833.2648649162825,1480.388,44.825944063295346,114.0,6112.558080000001,2739.72602739726,25009761.28399781
4,1,0,1298918592.0,1491560000.0,0.8708456863954518,511941732.89038,2441684.120852201,0.004971862081353172,376712.3287671233,3515981.735159817,1506849.3150684931,14063926.940639269,54733.94623998752,209043.3653276998,0,0,9999790956.634672,5615361732.89038,153420000,15342,19806.10848672409,19483.77888,1813.8896067240892,1491.56,45.31622346455174,122.0,6234.809241600001,2739.72602739726,25013256.367212016
5,1,0,1324896963.84,1503516000.0,0.8811991118418426,514488027.4550459,2429599.7832704093,0.0049306700368607,376712.3287671233,3515981.735159817,1883561.6438356163,17579908.675799087,56399.49926109809,265442.8645887979,0,0,9999734557.13541,5619198027.455046,154710000,15471,20165.330600638074,19873.4544576,1795.3921430380738,1503.5159999999998,45.792681647249175,129.0,6359.505426432,2739.72602739726,25016876.146611053
6,1,0,1351394903.1167998,1516158000.0,0.8913285443316592,516952624.84532505,2418016.545276284,0.004892307714396035,376712.3287671233,3515981.735159817,2260273.9726027395,21095890.410958905,58096.67364774706,323539.538236545,0,0,9999676460.461763,5623032624.845325,156080000,15608,20532.436693376265,20270.923546752,1777.6711466242634,1516.158,46.258320674657575,137.0,6486.69553496064,2739.72602739726,25020623.116118617
7,1,0,1378422801.1791358,1529584000.0,0.9011749607600078,519335495.64913535,2406921.9425057434,0.004891021266258751,376712.3287671233,3515981.735159817,2636986.3013698626,24611872.146118723,59823.26011665277,383362.79835319775,0,0,9999616637.201647,5626865495.649136,157530000,15753,20907.52544051334,20676.34201768704,1760.7674228262981,1529.5839999999998,46.70993546326766,145.0,6616.429445659853,2739.72602739726,25024499.819536883
8,1,0,1405991257.2027185,1543794000.0,0.9107376095532943,521636610.55372167,2396304.1985743954,0.004921161487212238,376712.3287671233,3515981.735159817,3013698.630136986,28127853.88127854,61579.159340621125,444941.9576938189,0,0,9999555058.042307,5630696610.553721,159060000,15906,21290.72729491519,21089.86885804078,1744.6524368744078,1543.7939999999999,47.14749648455957,153.0,6748.758034573049,2739.72602739726,25028508.85154406
9,1,0,1434111082.346773,1558788000.0,0.9200167581138505,523865940.36981046,2386106.6423169114,0.004893728761686448,376712.3287671233,3515981.735159817,3390410.958904109,31643835.61643836,63364.24783813374,508306.20553195267,0,0,9999491693.794468,5634525940.36981,160660000,16066,21682.177652493687,21511.666235201596,1729.29941729209,1558.788,47.57102722157692,160.0,6883.73319526451,2739.72602739726,25032652.858711928
10,1,0,1462793303.9937084,1574468000.0,0.9290714730268944,526013453.5866639,2376365.0748412935,0.004914138294340381,376712.3287671233,3515981.735159817,3767123.287671232,35159817.35159817,65180.84707352405,573487.0526054767,0,0,9999426512.947395,5638353453.586664,162340000,16234,22082.049371498935,21941.89955990563,1714.6178115933064,1574.4679999999998,47.98373853414489,168.0,7021.407859169801,2739.72602739726,25036934.5405437
