timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,304500000.0,1470000000.0,0.20714285714285716,503882497.53424865,2480737.088739698,0.004923145578342075,376712.3287671233,3515981.735159817,376712.3287671233,3515981.735159817,10196.529678268236,10196.529678268236,0,0,9999989803.470322,5603882497.534248,150000000,15000,4177.068590445555,3764.925,1882.1435904455548,1470.0,9.680537752373812,0.0,1204.776,2739.72602739726,24998465.049972605
2,1,0,309067500.0,1470000000.0,0.21025,507764658.25636697,2461770.3884559907,0.0048481501837610375,376712.3287671233,3515981.735159817,753424.6575342466,7031963.470319634,10533.341808603733,20729.87148687197,0,0,9999979270.128513,5607764658.256367,150000000,15000,4213.303357955518,3830.041726875,1853.261631080517,1470.0,9.77164867733114,0.0,1225.6133526,2739.72602739726,24996950.93729781
3,1,0,313703512.49999994,1470000000.0,0.21340374999999995,511646472.0154416,2443093.167585205,0.005063608675217261,376712.3287671233,3515981.735159817,1130136.98630137,10547945.20547945,10880.304852320456,31610.176339192425,0,0,9999968389.82366,5611646472.015442,150000000,15000,4251.438262988968,3896.396434851047,1825.041828137921,1470.0,9.867137521693001,0.0,1246.846859152335,2739.72602739726,24995458.058129568
4,1,0,318409065.1874999,1470000000.0,0.21660480624999992,515527928.36627847,2424698.8983919513,0.005135276880709436,376712.3287671233,3515981.735159817,1506849.3150684931,14063926.940639269,11237.71309008178,42847.889429274204,0,0,9999957152.11057,5615527928.366279,150000000,15000,4291.479736844128,3964.015589327387,1797.4641475167411,1470.0,9.967028866003687,0.0,1268.4849885847639,2739.72602739726,24993986.817090757
5,1,0,323185201.16531235,1470000000.0,0.2198538783437499,519409016.56075877,2406581.249352993,0.005076324945317898,376712.3287671233,3515981.735159817,1883561.6438356163,17579908.675799087,11605.869446663448,54453.75887593765,0,0,9999945546.241123,5619409016.560759,150000000,15000,4333.4355996827635,4032.9262913312705,1770.5093083514926,1470.0,10.071350164344771,0.0,1290.5364132260065,2739.72602739726,24992537.627476588
6,1,0,328032979.182792,1470000000.0,0.22315168651890613,523289725.5389304,2388734.077881309,0.0050202457551986384,376712.3287671233,3515981.735159817,2260273.9726027395,21095890.410958905,11985.085755291315,66438.84463122897,0,0,9999933561.155369,5623289725.538931,150000000,15000,4377.315043579156,4103.156294265468,1744.1587493136876,1470.0,10.18013173132619,0.0,1313.0100141649498,2739.72602739726,24991110.911463358
7,1,0,332953473.8705339,1470000000.0,0.22649896181668971,527170043.919827,2371151.4233728023,0.005037223498029912,376712.3287671233,3515981.735159817,2636986.3013698626,24611872.146118723,12375.683030396012,78814.52766162499,0,0,9999921185.472338,5627170043.9198265,150000000,15000,4423.128617785058,4174.734021125032,1718.3945966600263,1470.0,10.293406732632498,0.0,1335.9148867600104,2739.72602739726,24989707.100322723
8,1,0,337947775.97859186,1470000000.0,0.22989644624394004,531049959.9920049,2353827.500559118,0.005116349169433252,376712.3287671233,3515981.735159817,3013698.630136986,28127853.88127854,12777.9917490583,91592.5194106833,0,0,9999908407.480589,5631049959.992004,150000000,15000,4470.8882161215415,4247.688582196908,1693.1996339246336,1470.0,10.411211179035737,0.0,1359.2603463030105,2739.72602739726,24988326.634641632
9,1,0,343016992.6182707,1470000000.0,0.2333448929375991,534929461.70379037,2336756.6931510125,0.005073357885305714,376712.3287671233,3515981.735159817,3390410.958904109,31643835.61643836,13192.352141427793,104784.87155211109,0,0,9999895215.128448,5634929461.703791,150000000,15000,4520.607066415833,4322.049793256431,1668.5572731594023,1470.0,10.53358392379399,0.0,1383.055933842058,2739.72602739726,24986969.964548077
10,1,0,348162247.5075447,1470000000.0,0.23684506633166305,538808536.653227,2319933.5477575976,0.005126983733942544,376712.3287671233,3515981.735159817,3767123.287671232,35159817.35159817,13619.114490406984,118403.98604251807,0,0,9999881596.013958,5638808536.653227,150000000,15000,4572.299721907913,4397.848194275167,1644.4515276327465,1470.0,10.660566663362077,0.0,1407.3114221680532,2739.72602739726,24985637.54994285
