timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,300150000.0,1470000000.0,0.20418367346938776,503918605.98599744,2480559.3307160684,0.00492245825866998,410958.90410958906,3515981.735159817,410958.90410958906,3515981.735159817,8334.653271944233,8334.653271944233,0,0,9999991665.346727,5553918605.985997,150000000,15000,3660.13074768589,3077.023712372449,2053.107035313441,1470.0,8.482539489459425,0.0,984.6475879591837,2739.72602739726,24998244.921560563
2,1,0,300300075.0,1470000000.0,0.20428576530612244,507937077.32929444,2460934.7413117234,0.004845913879021462,410958.90410958906,3515981.735159817,821917.8082191781,7031963.470319634,8469.29597240293,16803.94924434716,0,0,9999983196.050756,5557837077.329294,149900000,14990,3629.9787716153387,3078.6656956071556,2021.3130760081835,1470.0,8.41886411467423,-10.0,985.1730225942897,2739.72602739726,24996490.368555762
3,1,0,300450225.03749996,1469020000.0,0.20452425769390475,511955409.1343563,2441618.894336075,0.004912247525366599,410958.90410958906,3515981.735159817,1232876.7123287672,10547945.20547945,8608.834207531438,25412.783451878597,0,0,9999974587.216549,5561755409.1343565,149800000,14980,3600.896621896531,3080.4468643890377,1989.4697575074936,1469.02,8.363162816839608,-10.0,985.7429966044921,2739.72602739726,24994736.38552497
4,1,0,300600450.1500187,1468040000.0,0.20476311963571747,515973600.18453157,2422604.5664990474,0.004907079399083444,410958.90410958906,3515981.735159817,1643835.6164383562,14063926.940639269,8749.58909417256,34162.372546051156,0,0,9999965837.627455,5565673600.184531,149700000,14970,3572.563519970414,3082.2294195956424,1958.3741003747716,1468.04,8.3088942252375,-10.0,986.3134142706056,2739.72602739726,24992982.972911846
5,1,0,300750750.3750937,1467060000.0,0.20500235189773677,520001649.26129884,2403838.5296964315,0.004839789659366775,410958.90410958906,3515981.735159817,2054794.5205479453,17579908.675799087,8891.562502161745,43053.9350482129,0,0,9999956946.06495,5569591649.261299,149590000,14959,3544.9562443511563,3084.0133631332574,1928.0028812178991,1467.06,8.256017978101493,-11.0,986.8842762026422,2739.72602739726,24991230.131160654
6,1,0,300901125.7502812,1465982000.0,0.2052556755473677,524029554.75857735,2385361.643535316,0.004774680177837385,410958.90410958906,3515981.735159817,2465753.4246575343,21095890.410958905,9035.141990910159,52089.07703912306,0,0,9999947910.92296,5573509554.758577,149480000,14948,3518.0914187491435,3085.8126304431407,1898.260788306003,1465.982,8.20514835851885,-11.0,987.460041741805,2739.72602739726,24989477.865175
7,1,0,301051576.31315637,1464904000.0,0.20550942335685912,528057315.44695747,2367167.281722017,0.004744984398995997,410958.90410958906,3515981.735159817,2876712.3287671236,24611872.146118723,9179.95088930563,61269.027928428695,0,0,9999938730.97207,5577427315.446958,149370000,14937,3491.912024196217,3087.613356984225,1869.202667211992,1464.904,8.155596041292593,-11.0,988.0362742349519,2739.72602739726,24987726.17542184
8,1,0,301202102.10131294,1463826000.0,0.20576359628898033,532084930.095122,2349249.018904811,0.00474464337295652,410958.90410958906,3515981.735159817,3287671.2328767125,28127853.88127854,9325.991104919674,70595.01903334836,0,0,9999929404.980967,5581344930.095122,149260000,14926,3466.3972512223636,3089.4155449601176,1840.807706262246,1463.826,8.107324683707946,-11.0,988.6129743872376,2739.72602739726,24985975.062368833
9,1,0,301352703.1523636,1462748000.0,0.20601819530935173,536112397.46984434,2331600.623114318,0.00468794002132993,410958.90410958906,3515981.735159817,3698630.1369863013,31643835.61643836,9473.26454702292,80068.28358037128,0,0,9999919931.71642,5585262397.469845,149150000,14915,3441.527075948819,3091.2191965802526,1813.0558793685664,1462.748,8.060299190687125,-11.0,989.1901429056808,2739.72602739726,24984224.526484344
10,1,0,301503379.50393975,1461670000.0,0.20627322138645504,540139716.3359872,2314216.04854262,0.004676297819355682,410958.90410958906,3515981.735159817,4109589.04109589,35159817.35159817,9621.773126586879,89690.05670695816,0,0,9999910309.943293,5589179716.335987,149040000,14904,3417.2822247703607,3093.0243140599077,1785.9279107104526,1461.6699999999998,8.014485664660143,-11.0,989.7677804991705,2739.72602739726,24982474.568237446
