timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,306000000.0,784000000.0,0.3903061224489796,503510874.8693074,2482568.028594126,0.004930393666747499,400000,3123287.671232877,400000,3123287.671232877,12412.801925484513,12412.801925484513,0,0,9999987587.198074,2653510874.8693075,150000000,15000,5804.401278976819,4590.000000000001,1998.4012789768185,784.0,13.451981677452101,0.0,1468.8000000000002,2739.72602739726,24998729.073972605
2,1,0,312120000.0,1470000000.0,0.2123265306122449,507611324.3142018,2462514.0144160264,0.00485682533717261,400000,3123287.671232877,800000,6246575.342465754,12838.226338532464,25251.028264016975,0,0,9999974748.971737,2657021324.314202,149410000,14941,5182.440565546831,4681.8,1970.640565546831,1470.0,12.01850170141634,-59.0,1498.1760000000002,2739.72602739726,24997487.52394521
3,1,0,318362400.0,1464218000.0,0.21742827912237112,511681304.34595734,2442926.855804863,0.004921938049136442,400000,3123287.671232877,1200000,9369863.01369863,13307.639477310118,38558.667741327095,0,0,9999961441.332258,2660531304.3459573,148850000,14885,5250.162190065321,4775.436000000001,1938.9441900653198,1464.2179999999998,12.232871595508406,-56.0,1528.1395200000002,2739.72602739726,24996275.937437814
4,1,0,324729648.0,1458730000.0,0.2226112083798921,515730801.2079971,2423745.0954492604,0.004915896156930877,400000,3123287.671232877,1600000,12493150.684931507,13790.809193126177,52349.47693445327,0,0,9999947650.523066,2664040801.2079973,148310000,14831,5320.448303278366,4870.94472,1908.2335832783651,1458.73,12.452395006133008,-54.0,1558.7023104000002,2739.72602739726,24995094.913720816
5,1,0,331224240.96,1453438000.0,0.2278901755424036,519759800.26880544,2404957.0577669432,0.004848120313503499,400000,3123287.671232877,2000000,15616438.356164385,14288.610424496914,66638.08735895019,0,0,9999933361.912642,2667549800.2688055,147790000,14779,5393.321625470464,4968.3636144,1878.3960110704638,1453.4379999999999,12.677940269125227,-52.0,1589.876356608,2739.72602739726,24993945.06405003
6,1,0,337848725.77919996,1448342000.0,0.23326584865950167,523758286.52006733,2386597.0852799253,0.004783098833332418,400000,3123287.671232877,2400000,18739726.02739726,14801.419971017867,81439.50732996805,0,0,9999918560.49267,2671058286.520067,147300000,14730,5468.78751881922,5067.730886688,1849.39863213122,1448.3419999999999,12.909506331892247,-49.0,1621.67388374016,2739.72602739726,24992827.011906374
7,1,0,344605700.29478395,1443540000.0,0.2387226542352716,527736245.1496506,2368607.4464063714,0.00475400403727239,400000,3123287.671232877,2800000,21863013.698630136,15329.041649652141,96768.54897962019,0,0,9999903231.451021,2674566245.1496506,146830000,14683,5546.825180166086,5169.08550442176,1821.2796757443266,1443.54,13.14611023906351,-47.0,1654.1073614149632,2739.72602739726,24991741.393240392
8,1,0,351497814.3006796,1438934000.0,0.24427653686734738,531683660.4023049,2351022.0326390564,0.0047547602720096815,400000,3123287.671232877,3200000,24986301.36986301,15872.418578548817,112640.96755816901,0,0,9999887359.032442,2678073660.4023046,146390000,14639,5627.469887601217,5272.467214510195,1793.9366730910222,1438.934,13.388686003678224,-44.0,1687.1895086432623,2739.72602739726,24990688.85672164
9,1,0,358527770.5866932,1434622000.0,0.24991096650315778,535610516.73530835,2333785.3924510116,0.004699450980883331,400000,3123287.671232877,3600000,28109589.041095886,16431.33822940647,129072.30578757547,0,0,9999870927.694212,2681580516.7353086,145970000,14597,5710.702361446671,5377.916558800399,1767.4078026462714,1434.6219999999998,13.636202688310508,-42.0,1720.9332988161275,2739.72602739726,24989670.06399306
10,1,0,365698325.9984271,1430506000.0,0.25564263693995487,539516797.6152457,2316888.0107629816,0.004689624806486618,400000,3123287.671232877,4000000,31232876.71232876,17006.791295571136,146079.09708314663,0,0,9999853920.902916,2685086797.615246,145570000,14557,5796.565608388168,5485.474889976407,1741.5967184117599,1430.5059999999999,13.889638595802968,-40.0,1755.3519647924502,2739.72602739726,24988685.689930458
11,1,0,373012292.51839566,1426586000.0,0.2614719985464568,543402486.090425,2300320.7235823986,0.004641111477301822,400000,3123287.671232877,4400000,34356164.38356164,17599.19605355771,163678.29313670433,0,0,9999836321.706863,2688592486.090425,145190000,14519,5885.0762013919775,5595.184387775935,1716.4778136160432,1426.586,14.148989724796815,-38.0,1790.4590040882993,2739.72602739726,24987736.42290715
12,1,0,380472538.36876357,1422862000.0,0.2673994655622004,547267564.7816556,2284074.702104291,0.004642615744622731,400000,3123287.671232877,4800000,37479452.05479452,18208.98000231334,181887.27313901766,0,0,9999818112.72686,2692097564.7816553,144830000,14483,5976.25270830407,5707.088075531454,1692.0266327726165,1422.8619999999999,14.41425157203597,-36.0,1826.2681841700653,2739.72602739726,24986822.965063926
13,1,0,388081989.13613886,1419334000.0,0.27342541581906643,551102015.8728509,2268182.5941431466,0.004583761614560162,400000,3123287.671232877,5200000,40602739.7260274,18836.58003746037,200723.85317647803,0,0,9999799276.146824,2695602015.872851,144500000,14450,6070.115647002826,5821.229837042083,1668.219809960743,1419.3339999999998,14.685419056683477,-33.0,1862.7935478534664,2739.72602739726,24985946.032584384
14,1,0,395843628.9188616,1416100000.0,0.2795308445158263,554915821.8039687,2252593.9086335506,0.004630529111084213,400000,3123287.671232877,5600000,43726027.39726028,19481.740115076693,220205.59329155472,0,0,9999779794.406708,2699105821.8039684,144190000,14419,6166.649123457515,5937.6544337829255,1645.0946896745904,1416.1,14.961336571827625,-31.0,1900.0494188105358,2739.72602739726,24985106.3559758
