timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,304500000.0,1960000000.0,0.15535714285714286,503914568.87116027,2480579.2037332365,0.004922497694976249,0.0,3926940.6392694064,0.0,3926940.6392694064,12371.76810913547,12371.76810913547,0,0,9999987628.231892,3153914568.8711605,150000000,15000,2607.500000000001,4567.500000000001,0.0,1960.0,6.04277777777778,0.0,1461.6000000000001,2739.72602739726,24998721.873972606
2,1,0,309067500.0,1470000000.0,0.21025,507864690.1190521,2461285.5044263434,0.004846627361847498,5934.0960000000005,3926940.6392694064,5934.0960000000005,7853881.278538813,12753.487377587131,25125.2554867226,0,0,9999974874.744513,3157834690.119052,149970000,14997,3195.2234470519325,4636.012500000001,29.21094705193185,1470.0,7.41026875261645,-3.0,1483.5240000000001,2739.72602739726,24997465.67194521
3,1,0,313703512.49999994,1469706000.0,0.21344643928785753,511814506.92247933,2442291.070482158,0.00491428059017418,6023.10744,3926940.6392694064,11957.203440000001,11780821.91780822,13146.943282216436,38272.19876893904,0,0,9999961727.801231,3161754506.9224796,149940000,14994,3265.0363742600293,4705.5526875,29.18968676003026,1469.706,7.579201545355923,-3.0,1505.77686,2739.72602739726,24996231.722777814
4,1,0,318409065.1874999,1469412000.0,0.21669148284313716,515754010.10891163,2423636.027058787,0.004910497392353843,6113.454051599998,3926940.6392694064,18070.6574916,15707762.557077626,13550.906888719579,51823.10565765861,0,0,9999948176.894342,3165674010.1089115,149920000,14992,3335.895983874,4776.135977812499,29.172006061501552,1469.412,7.750747183803683,-2.0,1528.3635128999995,2739.72602739726,24995020.360263318
5,1,0,323185201.16531235,1469216000.0,0.21997119631511797,519693190.8138561,2405265.302865448,0.004844698007685133,6205.1558623739975,3926940.6392694064,24275.813353973997,19634703.19634703,13965.090187334617,65788.19584499323,0,0,9999934211.804155,3169593190.813856,149900000,14990,3407.720992632207,4847.778017479685,29.158975152521446,1469.216,7.924176738485215,-2.0,1551.2889655934991,2739.72602739726,24993831.923201516
6,1,0,328032979.182792,1469020000.0,0.2233005535546092,523632039.4252319,2387172.4911486916,0.004781111156982334,6298.233200309608,3926940.6392694064,30574.046554283606,23561643.83561644,14390.261093944322,80178.45693893755,0,0,9999919821.54306,3173512039.425232,149880000,14988,3480.6240752347135,4920.494687741881,29.149387492832886,1469.02,8.100273083694404,-2.0,1574.5583000774018,2739.72602739726,24992666.7554742
7,1,0,332953473.8705339,1468824000.0,0.22668030606153894,527570546.0919457,2369351.377288885,0.00475293439910273,6392.706698314251,3926940.6392694064,36966.75325259786,27488584.474885847,14826.67925386223,95005.13619279978,0,0,9999904994.863808,3177430546.0919456,149860000,14986,3554.621296635796,4994.302108058008,29.14318857778738,1468.8239999999998,8.279075670859372,-2.0,1598.1766745785626,2739.72602739726,24991525.20612138
8,1,0,337947775.97859186,1468628000.0,0.23011121671287205,531508700.718581,2351795.9316753326,0.004754132541946651,6488.5972987889645,3926940.6392694064,43455.35055138682,31415525.114155255,15274.609932901147,110279.74612570093,0,0,9999889720.253874,3181348700.718581,149840000,14984,3629.7289659927674,5069.216639678878,29.140326313889094,1468.628,8.460624585320447,-2.0,1622.149324697241,2739.72602739726,24990407.629418682
9,1,0,343016992.6182707,1468432000.0,0.23359405993486296,535436492.9599785,2334543.9028442027,0.004698906521088428,6585.926258270797,3926940.6392694064,50041.27680965762,35342465.75342466,15734.324130156943,126014.07025585786,0,0,9999873985.929745,3185266492.9599786,149830000,14983,3705.963640198248,5145.254889274061,29.14075092418679,1468.432,8.644960554437803,-1.0,1646.4815645676993,2739.72602739726,24989314.384955853
10,1,0,348162247.5075447,1468334000.0,0.23711379529966936,539363912.8166083,2317544.7416798524,0.004688891823068786,6684.715152144859,3926940.6392694064,56725.99196180248,39269406.39269406,16205.497791779911,142219.56804763776,0,0,9999857780.431952,3189183912.8166084,149820000,14982,3783.2452160976854,5222.43371261317,29.1455034845145,1468.3339999999998,8.831295476028764,-1.0,1671.1787880362147,2739.72602739726,24988245.837716494
11,1,0,353384681.22015786,1468236000.0,0.2406865662060853,543290949.4540083,2300792.975211927,0.004639855848670834,6784.985879427032,3926940.6392694064,63510.97784122951,43196347.03196347,16688.98774870432,158908.5557963421,0,0,9999841091.444204,3193100949.454008,149810000,14981,3861.6876528721423,5300.770218302368,29.153434569773992,1468.2359999999999,9.020475082980127,-1.0,1696.2464698567578,2739.72602739726,24987202.358158953
12,1,0,358685451.4384602,1468138000.0,0.24431317181250004,547217591.771848,2284283.288394654,0.004640493997763092,6886.760667618436,3926940.6392694064,70397.73850884795,47123287.67123287,17185.08209728203,176093.6378936241,0,0,9999823906.362106,3197017591.7718477,149800000,14980,3941.3082730894057,5380.281771576903,29.16450151250259,1468.138,9.212541499877416,-1.0,1721.690166904609,2739.72602739726,24986184.322298463
13,1,0,364065733.21003705,1468040000.0,0.24799442331955332,551143828.3980752,2268010.518476061,0.0045804049131187245,6990.062077632711,3926940.6392694064,77387.80058648066,51050228.310502276,17694.075119695564,193787.71301331968,0,0,9999806212.286987,3200933828.398075,149790000,14979,4022.1246617538363,5460.985998150556,29.178663603279883,1468.04,9.407537515507402,-1.0,1747.5155194081779,2739.72602739726,24985192.111790475
